modified	id	cve	ghsa	cvss	fixed	summary
2026-02-04	GHSA-h3gc-qfqq-6h8f	CVE-2025-48988	GHSA-h3gc-qfqq-6h8f	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	9.0.106, 10.1.42, 11.0.8	Apache Tomcat - DoS in multipart upload
2026-02-04	GHSA-h2fw-rfh5-95r3	CVE-2025-46701	GHSA-h2fw-rfh5-95r3		9.0.105, 10.1.41, 11.0.7	Apache Tomcat - CGI security constraint bypass
2026-02-04	GHSA-ff77-26x5-69cr	CVE-2025-31651	GHSA-ff77-26x5-69cr		9.0.104, 10.1.40, 11.0.6	Apache Tomcat Rewrite rule bypass
2026-02-04	GHSA-fccv-jmmp-qg76	CVE-2023-46589	GHSA-fccv-jmmp-qg76	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N	8.5.96, 9.0.83, 10.1.16, 11.0.0-M11	Apache Tomcat Improper Input Validation vulnerability
2026-02-04	GHSA-c9hw-wf7x-jp9j	CVE-2020-1938	GHSA-c9hw-wf7x-jp9j	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:H	7.0.100, 8.5.51, 9.0.31	Improper Privilege Management in Tomcat
2026-02-04	GHSA-9xcj-c8cr-8c3c	CVE-2019-17563	GHSA-9xcj-c8cr-8c3c	CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H	7.0.99, 8.5.50, 9.0.30	In Apache Tomcat, when using FORM authentication there was a narrow window where an attacker could perform a session fixation attack
2026-02-04	GHSA-83qj-6fr2-vhqg	CVE-2025-24813	GHSA-83qj-6fr2-vhqg	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:H	9.0.99, 10.1.35, 11.0.3	Apache Tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT
2026-02-04	GHSA-7w75-32cg-r6g2	CVE-2024-24549	GHSA-7w75-32cg-r6g2	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	8.5.99, 9.0.86, 10.1.19, 11.0.0-M17	Apache Tomcat Denial of Service due to improper input validation vulnerability for HTTP/2 requests
2026-02-04	GHSA-5j33-cvvr-w245	CVE-2024-50379	GHSA-5j33-cvvr-w245	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	9.0.98, 10.1.34, 11.0.2	Apache Tomcat Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability
2026-02-04	GHSA-3p2h-wqq4-wf4h	CVE-2025-31650	GHSA-3p2h-wqq4-wf4h		9.0.104, 10.1.40, 11.0.6	Apache Tomcat Denial of Service via invalid HTTP priority header
